species,taxonomic_class,common_name,mass_g,repo_type,parental_care,refs
Alces_alces,Mammalia,Eurasian Elk,351000,viviparous,yes,Handbook of the Mammals of the World
Amazona_vittata,Aves,Puerto Rican amazon,281,oviparous,yes,Handbook of birds of the world
Ammocrypta_pellucida,Actinopterygii,Eastern sand darter,0.8,oviparous,no,Froese R. and D. Pauly. Editors. 2022.FishBase. World Wide Web electronic publication. www.fishbase.org
Ammodramus_savannarum,Aves,Grasshopper Sparrow,17.9,oviparous,yes,Handbook of birds of the world
Amphimedon_compressa,Demospongiae,Red tree sponge,182,oviparous,no,Watson et al 2014
Anarhynchus_frontalis,Aves,Wrybill,58.125,oviparous,yes,Handbook of birds of the world
Anas_fulvigula,Aves,Mottled Duck,1082,oviparous,yes,Handbook of birds of the world
Anas_laysanensis,Aves,Laysan duck,1082,oviparous,yes,Handbook of birds of the world
Anas_platyrhynchos,Aves,Mallard,1121,oviparous,yes,Handbook of birds of the world
Anser_anser,Aves,Greylag goose,3308.5,oviparous,yes,Handbook of birds of the world
Anthropoides_paradiseus,Aves,Blue Crane,5100,oviparous,yes,Handbook of birds of the world
Arctocephalus_australis,Mammalia,South American fur seal,67979.43,viviparous,yes,Handbook of the Mammals of the World
Astroblepus_ubidiai,Actinopterygii,Andean catfish,14.7,oviparous,no,Froese R. and D. Pauly. Editors. 2022.FishBase. World Wide Web electronic publication. www.fishbase.org
Bonasa_umbellus,Aves,Ruffed grouse,532,oviparous,yes,Handbook of birds of the world
Bostrychia_hagedash,Aves,Hadada Ibis,1245.25,oviparous,yes,Handbook of birds of the world
Brachyteles_hypoxanthus,Mammalia,Northern Muriqui,10839.905,viviparous,yes,Handbook of the Mammals of the World
Buteo_solitarius,Aves,Hawaiian Hawk,505,oviparous,yes,Handbook of birds of the world
Callospermophilus_lateralis,Mammalia,Golden-mantled ground squirrel,227.3,viviparous,yes,Handbook of the Mammals of the World
Calidris_temminckii,Aves,Temmincks Stint,25.7,oviparous,yes,Handbook of birds of the world
Calyptorhynchus_lathami,Aves,Glossy Black Cockatoo,431.975,oviparous,yes,Handbook of birds of the world
Canis_lupus,Mammalia,Wolf,29190.755,viviparous,yes,Handbook of the Mammals of the World
Cebus_capucinus,Mammalia,White-headed Capuchin,2655,viviparous,yes,Handbook of the Mammals of the World
Centrocercus_minimus,Aves,Gunnison Grouse,1650,oviparous,yes,Handbook of birds of the world
Cercopithecus_mitis,Mammalia,Blue Monkey,6116.5,viviparous,yes,Handbook of the Mammals of the World
Cervus_elaphus,Mammalia,Red Deer,160166.665,viviparous,yes,Handbook of the Mammals of the World
Chelodina_expansa,Reptilia,Giant Snake-necked Turtle,4744,oviparous,no,Cann 1998 Australian Freshwater turtles
Chelydra_serpentina,Reptilia,Common Snapping Turtle,5170,oviparous,no,Ernst and Lovich Turtles of the United States and Canada
Chen_caerulescens,Aves,Snow Goose,2630.75,viviparous,yes,Handbook of birds of the world
Chrysemys_picta,Reptilia,Painted Turtle,371.8,oviparous,no,Ernst and Lovich Turtles of the United States and Canada; Myhrvold et al 2015
Ciconia_ciconia,Aves,White stork,3350,oviparous,yes,Handbook of birds of the world
Clemmys_guttata,Reptilia,Spotted Turtle,165.4,oviparous,no,Ernst and Lovich Turtles of the United States and Canada
Coragyps_atratus,Aves,Black Vulture,2080.5,viviparous,yes,Handbook of birds of the world
Crocodylus_johnsoni,Reptilia,"Freshwater Crocodile, Johnstone River Crocodile",19500,oviparous,yes,Myhrvold et al 2015
Cryptophis_nigrescens,Reptilia,"Black-banded Trinket Snake, Red Bamboo Snake",1465.5,viviparous,no,Myhrvold et al 2015; Healy et al in prep venom evolution
Cyprinus_carpio,Actinopterygii,Common carp,542.57,oviparous,no,Froese R. and D. Pauly. Editors. 2022.FishBase. World Wide Web electronic publication. www.fishbase.org
Drymarchon_couperi,Reptilia,Eastern indigo snake,7118,oviparous,no,Myhrvold et al 2015
Eidolon_helvum,Mammalia,African Straw-colored Fruit Bat,280.43,viviparous,yes,Handbook of the Mammals of the World
Elephas_maximus,Mammalia,Asian Elephant,3.22E+06,viviparous,yes,Handbook of the Mammals of the World
Emydura_macquarii,Reptilia,Murray River turtle,1740,oviparous,no,Cann 1998 Australian Freshwater turtles
Enhydra_lutris,Mammalia,Sea Otter,943.25,viviparous,yes,Handbook of the Mammals of the World
Esox_lucius,Actinopterygii,pike,1073.82,oviparous,no,Froese R. and D. Pauly. Editors. 2022.FishBase. World Wide Web electronic publication. www.fishbase.org
Falco_naumanni,Aves,Lesser kestrel,152.5,oviparous,yes,Handbook of birds of the world
